openDate,state,latitude,longitude,marker
11/18/1980 12:00,AL,32.63563133,-85.42066119,"32.63563133,-85.42066119"
6/28/2001 12:00,AL,33.37366867,-86.80812072,"33.37366867,-86.80812072"
9/14/1987 12:00,AL,33.53350448,-86.69232177,"33.53350448,-86.69232177"
9/15/1999 12:00,AL,31.5570487,-87.87643477,"31.5570487,-87.87643477"
12/9/2013 12:00,AL,34.83142099,-86.63697799,"34.83142099,-86.63697799"
9/24/2014 12:00,AL,30.53298667,-87.70842254,"30.53298667,-87.70842254"
5/18/2011 12:00,AL,30.2691,-87.594322,"30.2691,-87.594322"
7/19/2006 12:00,AL,32.370693,-86.26841,"32.370693,-86.26841"
2/3/1987 12:00,AL,33.73374916,-87.80914351,"33.73374916,-87.80914351"
8/6/2014 12:00,AL,31.03685438,-87.49345757,"31.03685438,-87.49345757"
11/14/1990 12:00,AL,31.84378959,-85.16749486,"31.84378959,-85.16749486"
10/15/1985 12:00,AL,33.16356584,-85.36669783,"33.16356584,-85.36669783"
7/18/2007 12:00,AL,30.52358016,-87.85209372,"30.52358016,-87.85209372"
6/30/1988 12:00,AL,30.59473447,-88.16468574,"30.59473447,-88.16468574"
10/27/2004 12:00,AR,34.63186942,-93.05907547,"34.63186942,-93.05907547"
9/1/1976 12:00,AR,36.10471343,-94.30387115,"36.10471343,-94.30387115"
8/13/2014 12:00,AR,36.19342468,-94.18372638,"36.19342468,-94.18372638"
3/10/1981 12:00,AR,36.10107421,-93.68779754,"36.10107421,-93.68779754"
4/1/1971 12:00,AR,34.88533782,-92.11180877,"34.88533782,-92.11180877"
5/1/1976 12:00,AR,35.34946823,-94.33875274,"35.34946823,-94.33875274"
2/2/1988 12:00,AR,35.86733627,-92.10250854,"35.86733627,-92.10250854"
6/24/2009 12:00,AR,36.29718017,-94.12140655,"36.29718017,-94.12140655"
1/1/2114 12:00,AR,36.36497879,-94.21578979,"36.36497879,-94.21578979"
5/15/2014 12:00,AR,36.17716513,-94.55911025,"36.17716513,-94.55911025"
5/4/2014 12:00,AR,36.03847213,-94.25547346,"36.03847213,-94.25547346"
1/14/2011 12:00,AR,36.07225857,-94.17544037,"36.07225857,-94.17544037"
7/17/2013 12:00,AR,35.09222567,-92.46422454,"35.09222567,-92.46422454"
8/28/2013 12:00,AR,36.33573196,-94.2203667,"36.33573196,-94.2203667"
5/18/2011 12:00,AR,36.07750497,-94.21035535,"36.07750497,-94.21035535"
10/1/1967 12:00,AR,35.16892611,-92.72412322,"35.16892611,-92.72412322"
1/7/2009 12:00,AR,36.164169,-94.09201799,"36.164169,-94.09201799"
10/1/1967 12:00,AR,34.83861499,-92.23609199,"34.83861499,-92.23609199"
8/1/1997 12:00,AR,36.36435851,-94.21730898,"36.36435851,-94.21730898"
5/1/1972 12:00,AR,35.108513,-92.437927,"35.108513,-92.437927"
1/1/1977 12:00,AR,35.25029964,-91.687662,"35.25029964,-91.687662"
8/1/1965 12:00,AR,36.183174,-94.512611,"36.183174,-94.512611"
8/1/1964 12:00,AR,36.25112152,-93.07537078,"36.25112152,-93.07537078"
7/2/1962 12:00,AR,36.332031,-94.14904799,"36.332031,-94.14904799"
10/29/1997 12:00,AR,34.97834376,-92.03716725,"34.97834376,-92.03716725"
11/1/1971 12:00,AR,36.05991773,-90.52305489,"36.05991773,-90.52305489"
5/18/2005 12:00,AR,36.27949523,-94.15155792,"36.27949523,-94.15155792"
9/28/2006 12:00,AR,36.35234069,-94.17165374,"36.35234069,-94.17165374"
